,target_met_frac,no_budget_frac,avg_fine_period,fine_per_house,time_conv,profit_std
125,0.2,0.0,146.4,25.062120736503342,187.0,406.97541663998453
126,0.2,0.0,178.8,71.20098553577469,240.0,747.5757948736293
127,0.0,0.0,182.4,64.26809167091918,240.0,695.1458248444327
128,0.0,0.0,153.6,93.70306237288142,133.0,906.6518045661037
129,0.0,0.0,142.8,136.654808619499,227.0,265.3199347627184
130,0.3,0.0,157.2,30.88884032942873,240.0,946.2044705980086
131,0.1,0.0,237.6,54.05020545111483,240.0,521.6355803495395
132,0.0,0.0,168.0,252.23439569149852,173.0,291.36007108681997
133,1.0,0.0,168.0,52.65105011562874,173.0,1248.4890968346804
134,0.0,0.0,157.2,144.79540515174008,240.0,636.8942410126374
135,0.0,0.0,171.6,189.98515175684085,146.0,335.84213340815035
136,0.0,0.0,160.8,154.23928128216562,240.0,1085.3027792301787
137,0.3,0.0,157.2,80.20514585512073,170.0,583.8599067669018
138,0.0,0.0,160.8,168.1566625004187,200.0,429.37313381391783
139,0.0,0.0,153.6,304.97529849443845,240.0,654.3181235960154
140,0.0,0.0,175.2,47.20896235704966,173.0,881.3612835888647
141,0.0,0.0,171.6,29.650943146521808,240.0,438.18783625067033
142,0.0,0.0,150.0,195.01103973151533,160.0,462.1431583348546
143,0.0,0.0,146.4,637.9485177039458,240.0,653.8529825058165
144,0.3,0.0,171.6,25.291387945245308,106.0,1338.9212558835236
